Score_crediticio,Ingreso_Neto,MONTO_SOLICITADO,TIEMPO_EMPLEO,TIPO_CONTRATO,GRADO_DE_ESTUDIOS,ESTADO_CIVIL,Edad,NUM_DEPENDIENTES,TIPO_DE_VIVIENDA,Tipo_de_cargo,Tipo_de_ocupacion,Plazo_del_prestamo,Frecuencia_de_pago,Porcentaje_Incumplimiento,credito_pagado,TIEMPO_RESIDENCIA_DOMICILIO
505,39008,102359,6,Pensionado jubilado,Preparatoria,Viudo,40,3,Inquilino,Administrativo,Contadora,15,semanal,0.8,0,12
380,5060,128279,6,Trabajador independiente,Educación Básica,Casado,67,3,Propietario,Operativo,intendente,12,catorcenal,0.8,0,12
687,14130,159363,6,Trabajador independiente,Preparatoria,Viudo,59,4,Propietario,Jubilado,agricultor,6,semanal,0.5,1,12
301,23023,46568,6,Trabajo eventual,Preparatoria,Divorciado,41,2,Propietario,Operativo,preventa,6,catorcenal,0.8,1,12
689,18350,102539,6,Trabajo asalariado,Educación Básica,Viudo,66,2,Inquilino,Ventas por catÃ¡logo,preventa,3,catorcenal,0.5,1,12
405,29354,51851,6,Pensionado jubilado,Licenciatura,Soltero,30,2,Propietario,Operativo,costurera,12,quincenal,0.8,0,12
776,33145,59823,6,Trabajo eventual,Preparatoria,Divorciado,35,4,Inquilino,Administrativo,docente,15,semanal,0.2,1,12
701,39020,28312,6,Trabajador independiente,Especialidad,Casado,30,3,Inquilino,Ventas por catÃ¡logo,licenciada,12,catorcenal,0.2,1,12
461,25587,179180,6,Trabajo asalariado,Licenciatura,Casado,66,3,Inquilino,Jubilado,Encargado de restaurant,6,mensual,0.8,0,12
501,46131,170243,6,Pensionado jubilado,Especialidad,Divorciado,54,0,Propietario,Administrativo,docente,18,mensual,0.8,0,12
569,14650,177851,6,Trabajo eventual,Maestría,Viudo,60,4,Inquilino,Ventas por catÃ¡logo,Mesera,6,mensual,0.8,1,12
570,24933,103723,6,Pensionado jubilado,Preparatoria,Casado,56,0,Propietario,Jubilado,obrero,18,quincenal,0.8,0,12
755,25581,17411,6,Trabajo asalariado,Secundaria,Soltero,59,4,Propietario,Administrativo,intendente,12,catorcenal,0.2,1,12
761,28393,62009,6,Trabajo asalariado,Especialidad,Divorciado,34,0,Propietario,Jubilado,mecÃ¡nico,3,catorcenal,0.2,1,12
551,28051,151494,6,Trabajador independiente,Maestría,Soltero,32,1,Propietario,Operativo,costurera,18,mensual,0.8,0,12
595,31212,178540,6,Trabajo asalariado,Bachillerato,Divorciado,35,2,Propietario,Operativo,agricultor,3,mensual,0.8,0,12
637,9090,37371,6,Trabajo eventual,Bachillerato,Casado,40,2,Inquilino,Jubilado,supervisor almacenes,3,semanal,0.5,1,12
352,11960,62022,6,Pensionado jubilado,Maestría,Viudo,68,3,Inquilino,Operativo,vendedor,3,mensual,0.8,0,12
516,40772,76229,6,Trabajo asalariado,Ingeniería,Divorciado,47,1,Inquilino,Jubilado,supervisor almacenes,9,mensual,0.8,1,12
487,26520,104071,6,Trabajo asalariado,Ingeniería,Divorciado,51,2,Inquilino,Administrativo,carpintero,3,catorcenal,0.8,0,12
679,41408,187268,6,Trabajo eventual,Licenciatura,Soltero,21,3,Inquilino,Ventas por catÃ¡logo,intendente,3,mensual,0.5,1,12
792,33470,101774,6,Pensionado jubilado,Ingeniería,Casado,20,1,Propietario,Jubilado,alfarero,9,quincenal,0.2,1,12
340,25491,31715,6,Pensionado jubilado,Bachillerato,Soltero,24,2,Propietario,Ventas por catÃ¡logo,aluminiero,12,mensual,0.8,0,12
456,6341,32605,6,Trabajador independiente,Ingeniería,Casado,35,0,Inquilino,Ventas por catÃ¡logo,preventa,9,semanal,0.8,0,12
314,49623,104853,6,Trabajador independiente,Secundaria,Soltero,59,4,Inquilino,Jubilado,agricultor,15,semanal,0.8,0,12
364,29791,36174,6,Pensionado jubilado,Bachillerato,Divorciado,24,1,Inquilino,Operativo,preventa,18,mensual,0.8,0,12
820,5338,146028,6,Trabajo eventual,Especialidad,Soltero,57,3,Propietario,Administrativo,enfermera,6,mensual,0.1,1,12
643,10895,81373,6,Trabajo eventual,Primaria,Viudo,23,1,Propietario,Ventas por catÃ¡logo,intendente,18,quincenal,0.5,0,12
428,17254,74252,6,Trabajador independiente,Ingeniería,Casado,39,3,Propietario,Administrativo,aluminiero,15,catorcenal,0.8,0,12
771,16344,198021,6,Trabajo asalariado,Ingeniería,Casado,18,1,Inquilino,Ventas por catÃ¡logo,costurera,3,semanal,0.2,1,12
362,6750,198718,6,Trabajo eventual,Preparatoria,Divorciado,21,3,Inquilino,Jubilado,mecÃ¡nico,3,quincenal,0.8,0,12
438,7421,75017,6,Trabajo asalariado,Educación Básica,Casado,63,2,Inquilino,Operativo,Programador,15,quincenal,0.8,0,12
798,44887,68037,6,Trabajo eventual,Secundaria,Viudo,66,0,Inquilino,Administrativo,preventa,15,quincenal,0.2,1,12
691,10319,94818,6,Pensionado jubilado,Bachillerato,Soltero,69,2,Propietario,Ventas por catÃ¡logo,policia,12,catorcenal,0.5,0,12
718,20896,11548,6,Trabajador independiente,Bachillerato,Divorciado,67,0,Inquilino,Jubilado,policia,18,mensual,0.2,1,12
588,16918,121981,6,Trabajo asalariado,Media superior,Viudo,60,2,Inquilino,Jubilado,docente,9,catorcenal,0.8,0,12
678,30064,159249,6,Trabajo asalariado,Educación Básica,Casado,46,2,Inquilino,Ventas por catÃ¡logo,mecÃ¡nico,6,semanal,0.5,0,12
789,32935,29022,6,Pensionado jubilado,Ingeniería,Casado,38,1,Propietario,Ventas por catÃ¡logo,aluminiero,12,semanal,0.2,1,12
530,42641,111297,6,Trabajo eventual,Maestría,Viudo,43,4,Propietario,Ventas por catÃ¡logo,supervisor almacenes,9,quincenal,0.8,0,12
340,34711,141614,6,Trabajo asalariado,Preparatoria,Soltero,31,3,Inquilino,Operativo,ventas,18,catorcenal,0.8,0,12
327,9806,65428,6,Trabajo eventual,Especialidad,Soltero,26,3,Propietario,Ventas por catÃ¡logo,alfarero,3,catorcenal,0.8,0,12
434,46360,158812,6,Pensionado jubilado,Preparatoria,Divorciado,64,3,Propietario,Ventas por catÃ¡logo,enfermera,15,catorcenal,0.8,0,12
500,17182,64353,6,Trabajador independiente,Ingeniería,Casado,29,0,Propietario,Operativo,supervisor almacenes,18,catorcenal,0.8,0,12
332,27297,118132,6,Trabajo asalariado,Media superior,Viudo,59,3,Propietario,Jubilado,farmacia,18,semanal,0.8,0,12
347,24541,192604,6,Trabajo eventual,Primaria,Soltero,68,3,Propietario,Ventas por catÃ¡logo,alfarero,12,mensual,0.8,0,12
802,33921,21052,6,Trabajo asalariado,Bachillerato,Divorciado,68,1,Inquilino,Administrativo,policia,3,semanal,0.1,1,12
706,21774,105689,6,Trabajo eventual,Especialidad,Casado,23,2,Inquilino,Jubilado,preventa,18,semanal,0.2,1,12
398,49813,183148,6,Trabajo eventual,Educación Básica,Casado,37,3,Inquilino,Administrativo,docente,6,quincenal,0.8,0,12
846,42198,189492,6,Trabajo eventual,Ingeniería,Divorciado,41,4,Propietario,Ventas por catÃ¡logo,Jubilado,6,mensual,0.1,1,12
761,13820,136743,6,Pensionado jubilado,Secundaria,Divorciado,44,3,Propietario,Operativo,tortillera,15,quincenal,0.2,1,12
304,29070,5163,6,Trabajador independiente,Maestría,Soltero,55,0,Propietario,Operativo,Jubilado,15,quincenal,0.8,0,12
517,9232,46424,6,Trabajo asalariado,Preparatoria,Viudo,25,0,Propietario,Operativo,farmacia,18,semanal,0.8,0,12
802,16122,189816,6,Trabajador independiente,Media superior,Casado,18,0,Inquilino,Ventas por catÃ¡logo,agricultor,9,mensual,0.1,1,12
697,20023,146706,6,Trabajo eventual,Primaria,Viudo,66,3,Inquilino,Ventas por catÃ¡logo,alfarero,3,mensual,0.5,1,12
692,13007,140870,6,Trabajo eventual,Licenciatura,Casado,66,1,Inquilino,Administrativo,gerente,6,quincenal,0.5,0,12
506,22905,27420,6,Trabajador independiente,Maestría,Casado,41,4,Inquilino,Operativo,mecÃ¡nico,18,catorcenal,0.8,0,12
314,46786,125575,6,Trabajador independiente,Ingeniería,Viudo,64,3,Inquilino,Ventas por catÃ¡logo,ventas,15,quincenal,0.8,0,12
760,34398,34300,6,Trabajo asalariado,Primaria,Divorciado,24,1,Inquilino,Jubilado,docente,15,mensual,0.2,1,12
540,39268,94881,6,Trabajo eventual,Maestría,Soltero,36,1,Propietario,Ventas por catÃ¡logo,licenciada,6,catorcenal,0.8,0,12
395,11737,15749,6,Trabajador independiente,Maestría,Casado,39,3,Propietario,Ventas por catÃ¡logo,aluminiero,6,quincenal,0.8,0,12
784,41062,109131,6,Pensionado jubilado,Bachillerato,Divorciado,52,3,Inquilino,Jubilado,vendedor,15,mensual,0.2,1,12
706,30510,161193,6,Trabajo eventual,Maestría,Casado,47,1,Propietario,Operativo,farmacia,3,catorcenal,0.2,1,12
530,24426,133563,6,Trabajo eventual,Secundaria,Soltero,46,1,Inquilino,Jubilado,policia,15,catorcenal,0.8,0,12
470,42265,42487,6,Trabajo asalariado,Primaria,Casado,39,1,Inquilino,Operativo,Oficial AlbaÃ±il,9,quincenal,0.8,0,12
840,22850,169433,6,Pensionado jubilado,Ingeniería,Soltero,28,3,Propietario,Jubilado,vendedor,18,semanal,0.1,1,12
335,5614,26223,6,Trabajo asalariado,Ingeniería,Soltero,37,1,Inquilino,Administrativo,aluminiero,18,semanal,0.8,1,12
824,26776,77930,6,Pensionado jubilado,Secundaria,Casado,46,0,Inquilino,Operativo,farmacia,15,catorcenal,0.1,1,12
459,29077,150128,6,Trabajo asalariado,Educación Básica,Casado,68,3,Inquilino,Ventas por catÃ¡logo,Administrativo,18,mensual,0.8,0,12
542,14374,33380,6,Pensionado jubilado,Primaria,Soltero,58,0,Propietario,Administrativo,tortillera,12,semanal,0.8,1,12
385,40435,31035,6,Pensionado jubilado,Maestría,Divorciado,59,2,Propietario,Operativo,Oficial AlbaÃ±il,9,quincenal,0.8,0,12
327,35907,35620,6,Pensionado jubilado,Media superior,Viudo,51,3,Propietario,Operativo,preventa,6,semanal,0.8,0,12
639,18409,155949,6,Trabajador independiente,Especialidad,Soltero,18,2,Propietario,Operativo,supervisor almacenes,12,catorcenal,0.5,1,12
630,21514,191388,6,Trabajo eventual,Primaria,Casado,48,1,Inquilino,Jubilado,enfermera,12,quincenal,0.5,1,12
805,34866,122360,6,Pensionado jubilado,Licenciatura,Casado,47,1,Propietario,Operativo,farmacia,6,mensual,0.1,1,12
647,7983,58352,6,Trabajador independiente,Media superior,Divorciado,65,4,Propietario,Ventas por catÃ¡logo,labor de hogar,9,semanal,0.5,0,12
772,36705,166983,6,Trabajador independiente,Secundaria,Viudo,35,1,Propietario,Operativo,aluminiero,3,mensual,0.2,1,12
530,25662,168856,6,Trabajo asalariado,Maestría,Soltero,34,2,Inquilino,Ventas por catÃ¡logo,obrero,15,mensual,0.8,0,12
489,28510,8191,6,Trabajo eventual,Educación Básica,Soltero,55,1,Propietario,Ventas por catÃ¡logo,Mesera,18,semanal,0.8,0,12
524,17651,169232,6,Trabajo eventual,Licenciatura,Viudo,31,3,Propietario,Ventas por catÃ¡logo,preventa,3,quincenal,0.8,0,12
684,45998,95536,6,Trabajo asalariado,Educación Básica,Soltero,40,1,Inquilino,Administrativo,labor de hogar,18,quincenal,0.5,0,12
676,33535,109576,6,Trabajo eventual,Educación Básica,Viudo,42,4,Inquilino,Ventas por catÃ¡logo,policia,15,catorcenal,0.5,1,12
582,11640,185795,6,Trabajo asalariado,Preparatoria,Casado,32,1,Inquilino,Jubilado,Encargado de restaurant,15,semanal,0.8,0,12
558,49547,8631,6,Trabajador independiente,Bachillerato,Viudo,63,2,Inquilino,Operativo,docente,6,semanal,0.8,0,12
658,20317,142244,6,Trabajador independiente,Licenciatura,Soltero,39,2,Propietario,Jubilado,docente,6,mensual,0.5,1,12
755,12564,47080,6,Pensionado jubilado,Especialidad,Viudo,20,1,Inquilino,Administrativo,aluminiero,6,mensual,0.2,1,12
710,32345,95353,6,Trabajo asalariado,Bachillerato,Divorciado,36,2,Propietario,Operativo,intendente,9,quincenal,0.2,1,12
617,33687,156353,6,Trabajador independiente,Licenciatura,Casado,61,2,Propietario,Ventas por catÃ¡logo,ventas,12,mensual,0.5,1,12
524,18737,33671,6,Trabajador independiente,Educación Básica,Casado,51,4,Propietario,Operativo,Mesera,6,quincenal,0.8,0,12
533,14323,127811,6,Trabajo asalariado,Bachillerato,Viudo,52,3,Propietario,Administrativo,gerente,9,mensual,0.8,1,12
673,20229,187503,6,Trabajador independiente,Licenciatura,Soltero,67,4,Propietario,Administrativo,Administrativo,18,semanal,0.5,0,12
771,49481,132734,6,Trabajo eventual,Especialidad,Divorciado,18,0,Inquilino,Jubilado,Encargado de restaurant,9,mensual,0.2,1,12
532,13502,164674,6,Trabajador independiente,Media superior,Casado,69,4,Propietario,Operativo,Jubilado,3,catorcenal,0.8,1,12
412,5545,56399,6,Trabajo asalariado,Primaria,Casado,38,1,Propietario,Operativo,costurera,15,mensual,0.8,0,12
796,42114,159544,6,Trabajo eventual,Maestría,Soltero,46,3,Propietario,Operativo,costurera,12,catorcenal,0.2,1,12
741,34430,185302,6,Trabajo eventual,Licenciatura,Soltero,23,1,Inquilino,Jubilado,enfermera,12,semanal,0.2,1,12
567,14996,12099,6,Trabajador independiente,Especialidad,Divorciado,54,0,Propietario,Administrativo,intendente,6,mensual,0.8,0,12
809,32788,161503,6,Pensionado jubilado,Primaria,Viudo,18,3,Propietario,Ventas por catÃ¡logo,costurera,9,quincenal,0.1,1,12
685,34969,61492,6,Trabajo eventual,Bachillerato,Soltero,68,2,Inquilino,Operativo,intendente,12,catorcenal,0.5,1,12
686,18919,101722,6,Trabajo asalariado,Licenciatura,Viudo,18,4,Propietario,Jubilado,Mesera,18,semanal,0.5,0,12
412,8810,183756,6,Pensionado jubilado,Licenciatura,Divorciado,44,1,Propietario,Jubilado,Oficial AlbaÃ±il,18,semanal,0.8,0,12
380,35586,35111,6,Pensionado jubilado,Secundaria,Viudo,38,0,Inquilino,Ventas por catÃ¡logo,Encargado de restaurant,6,quincenal,0.8,0,12
412,44974,68936,6,Trabajo eventual,Licenciatura,Casado,33,2,Propietario,Administrativo,farmacia,15,mensual,0.8,0,12
301,46773,158686,6,Trabajador independiente,Maestría,Viudo,61,4,Propietario,Operativo,obrero,12,mensual,0.8,0,12
519,21371,178063,6,Pensionado jubilado,Secundaria,Divorciado,57,2,Propietario,Operativo,policia,9,quincenal,0.8,0,12
524,34629,65920,6,Trabajador independiente,Primaria,Divorciado,43,4,Propietario,Jubilado,supervisor almacenes,15,mensual,0.8,0,12
684,13436,68530,6,Trabajo eventual,Bachillerato,Divorciado,33,3,Propietario,Administrativo,vendedor,12,catorcenal,0.5,0,12
702,17984,172296,6,Trabajo asalariado,Bachillerato,Viudo,45,2,Inquilino,Operativo,ventas,3,quincenal,0.2,1,12
429,38039,12788,6,Pensionado jubilado,Ingeniería,Casado,18,2,Inquilino,Ventas por catÃ¡logo,Empleado,3,catorcenal,0.8,0,12
352,24895,33082,6,Trabajo asalariado,Ingeniería,Soltero,53,2,Inquilino,Administrativo,Mesera,6,quincenal,0.8,0,12
715,23155,128287,6,Trabajador independiente,Primaria,Casado,27,3,Propietario,Administrativo,tortillera,12,semanal,0.2,1,12
546,15616,94570,6,Trabajador independiente,Preparatoria,Viudo,60,0,Propietario,Jubilado,director de obras pÃºblicas,3,catorcenal,0.8,1,12
738,42129,106015,6,Trabajo asalariado,Especialidad,Viudo,34,4,Propietario,Jubilado,Programador,18,quincenal,0.2,1,12
502,44837,88588,6,Trabajo eventual,Preparatoria,Soltero,40,2,Inquilino,Operativo,Atencion al cliente,6,mensual,0.8,0,12
483,29574,152603,6,Trabajo eventual,Especialidad,Viudo,24,3,Propietario,Jubilado,alfarero,12,semanal,0.8,0,12
422,8430,93340,6,Pensionado jubilado,Secundaria,Divorciado,61,0,Propietario,Administrativo,intendente,9,quincenal,0.8,0,12
700,17676,99439,6,Pensionado jubilado,Primaria,Divorciado,24,4,Propietario,Operativo,docente,3,mensual,0.2,1,12
593,15816,180929,6,Trabajo eventual,Especialidad,Divorciado,61,3,Inquilino,Operativo,obrero,12,mensual,0.8,0,12
579,37733,146214,6,Trabajo eventual,Ingeniería,Divorciado,32,4,Inquilino,Administrativo,Contadora,3,mensual,0.8,0,12
497,25144,120053,6,Trabajo asalariado,Ingeniería,Divorciado,51,2,Propietario,Operativo,docente,3,catorcenal,0.8,0,12
810,7050,53355,6,Trabajador independiente,Educación Básica,Viudo,63,0,Propietario,Ventas por catÃ¡logo,director de obras pÃºblicas,12,catorcenal,0.1,1,12
443,49460,145938,6,Trabajador independiente,Especialidad,Soltero,62,3,Propietario,Ventas por catÃ¡logo,Administrativo,12,quincenal,0.8,0,12
500,38933,130426,6,Pensionado jubilado,Primaria,Soltero,21,0,Inquilino,Operativo,intendente,9,quincenal,0.8,1,12
423,29951,69027,6,Trabajo eventual,Media superior,Divorciado,31,2,Inquilino,Jubilado,preventa,18,catorcenal,0.8,0,12
486,37413,193978,6,Trabajo asalariado,Secundaria,Viudo,31,0,Inquilino,Ventas por catÃ¡logo,Oficial AlbaÃ±il,6,quincenal,0.8,0,12
625,39801,164210,6,Pensionado jubilado,Licenciatura,Casado,33,0,Propietario,Operativo,Oficial AlbaÃ±il,9,semanal,0.5,0,12
763,37913,97601,6,Trabajo asalariado,Licenciatura,Casado,24,1,Inquilino,Ventas por catÃ¡logo,Programador,15,semanal,0.2,1,12
648,45600,34956,6,Trabajo eventual,Especialidad,Viudo,49,0,Propietario,Jubilado,docente,3,catorcenal,0.5,1,12
702,30280,109797,6,Trabajo eventual,Preparatoria,Divorciado,36,4,Propietario,Administrativo,vendedor,12,catorcenal,0.2,1,12
645,29557,129917,6,Trabajo eventual,Secundaria,Soltero,19,3,Inquilino,Operativo,preventa,15,semanal,0.5,1,12
810,40400,131303,6,Trabajador independiente,Bachillerato,Viudo,27,1,Propietario,Operativo,gerente,9,quincenal,0.1,1,12
446,9494,141511,6,Trabajo eventual,Maestría,Casado,67,3,Inquilino,Operativo,Oficial AlbaÃ±il,15,semanal,0.8,0,12
447,20152,183313,6,Pensionado jubilado,Licenciatura,Casado,34,3,Propietario,Operativo,policia,12,semanal,0.8,0,12
788,28895,47533,6,Trabajador independiente,Ingeniería,Casado,54,2,Propietario,Operativo,docente,12,catorcenal,0.2,1,12
637,14155,164342,6,Trabajo asalariado,Secundaria,Divorciado,29,2,Inquilino,Operativo,preventa,18,semanal,0.5,1,12
772,36883,83815,6,Pensionado jubilado,Preparatoria,Casado,23,1,Propietario,Jubilado,docente,3,semanal,0.2,1,12
450,48194,44279,6,Pensionado jubilado,Primaria,Viudo,39,2,Propietario,Administrativo,preventa,6,quincenal,0.8,0,12
714,48001,114787,6,Trabajo asalariado,Preparatoria,Viudo,49,2,Propietario,Jubilado,intendente,18,quincenal,0.2,1,12
597,6828,159960,6,Trabajador independiente,Secundaria,Casado,58,2,Propietario,Jubilado,vendedor,18,semanal,0.8,0,12
562,46898,153702,6,Pensionado jubilado,Bachillerato,Viudo,37,3,Propietario,Administrativo,Programador,3,catorcenal,0.8,0,12
443,37123,66063,6,Pensionado jubilado,Licenciatura,Casado,18,1,Propietario,Jubilado,docente,18,mensual,0.8,0,12
645,42573,132896,6,Pensionado jubilado,Ingeniería,Casado,64,3,Propietario,Ventas por catÃ¡logo,farmacia,3,quincenal,0.5,0,12
301,5806,171216,6,Trabajador independiente,Media superior,Soltero,23,4,Propietario,Jubilado,Oficial AlbaÃ±il,15,quincenal,0.8,0,12
603,45970,188233,6,Trabajador independiente,Primaria,Divorciado,36,3,Inquilino,Operativo,preventa,3,semanal,0.5,1,12
553,34757,187051,6,Trabajador independiente,Ingeniería,Divorciado,35,4,Inquilino,Ventas por catÃ¡logo,costurera,15,semanal,0.8,0,12
752,39636,102661,6,Pensionado jubilado,Bachillerato,Soltero,23,0,Propietario,Ventas por catÃ¡logo,mecÃ¡nico,6,catorcenal,0.2,1,12
336,19561,143051,6,Trabajo eventual,Maestría,Soltero,62,0,Propietario,Administrativo,obrero,6,catorcenal,0.8,0,12
459,29262,162261,6,Trabajo asalariado,Bachillerato,Divorciado,50,4,Inquilino,Jubilado,obrero,6,quincenal,0.8,0,12
